Confirmed,Date,Deaths,Location,Recovered,_id
1,2020-01-21T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d53f6
14,2020-01-21T18:30:00.000Z,0,Beijing,0,621c51e5c4f24f87f62d53f7
6,2020-01-21T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d53f8
1,2020-01-21T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d53f9
0,2020-01-21T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d53fa
26,2020-01-21T18:30:00.000Z,0,Guangdong,0,621c51e5c4f24f87f62d53fb
2,2020-01-21T18:30:00.000Z,0,Guangxi,0,621c51e5c4f24f87f62d53fc
1,2020-01-21T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d53fd
4,2020-01-21T18:30:00.000Z,0,Hainan,0,621c51e5c4f24f87f62d53fe
1,2020-01-21T18:30:00.000Z,0,Hebei,0,621c51e5c4f24f87f62d53ff
0,2020-01-21T18:30:00.000Z,0,Heilongjiang,0,621c51e5c4f24f87f62d5400
5,2020-01-21T18:30:00.000Z,0,Henan,0,621c51e5c4f24f87f62d5401
444,2020-01-21T18:30:00.000Z,17,Hubei,28,621c51e5c4f24f87f62d5403
4,2020-01-21T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d5404
0,2020-01-21T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d5405
1,2020-01-21T18:30:00.000Z,0,Jiangsu,0,621c51e5c4f24f87f62d5406
2,2020-01-21T18:30:00.000Z,0,Jiangxi,0,621c51e5c4f24f87f62d5407
0,2020-01-21T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d5408
2,2020-01-21T18:30:00.000Z,0,Liaoning,0,621c51e5c4f24f87f62d5409
1,2020-01-21T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d540b
0,2020-01-21T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d540c
0,2020-01-21T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d540d
2,2020-01-21T18:30:00.000Z,0,Shandong,0,621c51e5c4f24f87f62d540e
9,2020-01-21T18:30:00.000Z,0,Shanghai,0,621c51e5c4f24f87f62d540f
1,2020-01-21T18:30:00.000Z,0,Shanxi,0,621c51e5c4f24f87f62d5410
5,2020-01-21T18:30:00.000Z,0,Sichuan,0,621c51e5c4f24f87f62d5411
4,2020-01-21T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d5413
0,2020-01-21T18:30:00.000Z,0,Tibet,0,621c51e5c4f24f87f62d5414
0,2020-01-21T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d5416
1,2020-01-21T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d5417
10,2020-01-21T18:30:00.000Z,0,Zhejiang,0,621c51e5c4f24f87f62d5418
9,2020-01-22T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d541c
22,2020-01-22T18:30:00.000Z,0,Beijing,0,621c51e5c4f24f87f62d541d
9,2020-01-22T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d541e
5,2020-01-22T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d541f
2,2020-01-22T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d5420
32,2020-01-22T18:30:00.000Z,0,Guangdong,2,621c51e5c4f24f87f62d5421
5,2020-01-22T18:30:00.000Z,0,Guangxi,0,621c51e5c4f24f87f62d5422
3,2020-01-22T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d5423
5,2020-01-22T18:30:00.000Z,0,Hainan,0,621c51e5c4f24f87f62d5424
1,2020-01-22T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d5425
2,2020-01-22T18:30:00.000Z,0,Heilongjiang,0,621c51e5c4f24f87f62d5426
5,2020-01-22T18:30:00.000Z,0,Henan,0,621c51e5c4f24f87f62d5427
