Date,Confirmed Cases
2010-01,584
2010-02,606
2010-03,294
2010-04,224
2010-05,296
2010-06,700
2010-07,1530
2010-08,881
2010-09,312
2010-10,267
2010-11,97
2010-12,146
2011-1,309
2011-02,392
2011-03,340
2011-04,528
2011-05,698
2011-06,1610
2011-07,2085
2011-08,824
2011-09,863
2011-10,599
2011-11,536
2011-12,1339
2012-01,1066
2012-02,744
2012-03,630
2012-04,412
2012-05,583
2012-06,1251
2012-07,1314
2012-08,1231
2012-09,525
2012-10,726
2012-11,853
2012-12,682
2013-01,757
2013-02,845
2013-03,791
2013-04,610
2013-05,748
2013-06,830
2013-07,1168
2013-08,1298
2013-09,685
2013-10,619
2013-11,1173
2013-12,1259
2014-01,1346
2014-02,684
2014-03,488
2014-04,539
2014-05,1744
2014-06,2289
2014-7,1859
2014-08,1104
2014-09,706
2014-10,1089
2014-11,1448
2014-12,1415
2015-01,1802
2015-02,1101
2015-03,537
2015-04,317
2015-05,515
2015-06,515
2015-07,907
2015-08,711
2015-09,401
2015-10,769
2015-11,985
2015-12,1321
2016-01,2184
2016-02,1569
2016-03,1016
2016-04,942
2016-5,693
2016-06,1459
2016-07,3191
2016-08,1478
2016-09,939
2016-10,459
2016-11,460
2016-12,2377
2017-01,2734
2017-02,1900
2017-03,2467
2017-04,2570
2017-05,3333
2017-06,3122
2017-7,2300
2017-08,2000
2017-09,1251
2017-10,823
2017-11,1131
2017-12,1602
2018-01,1177
2018-02,622
2018-03,475
2018-04,403
2018-05,615
2018-06,1292
2018-07,1568
2018-08,1037
2018-09,387
2018-10,372
2018-11,977
2018-12,1333
2019-01,1225
2019-02,792
2019-03,815
2019-04,579
2019-05,866
2019-06,1126
2019-07,1857
2019-08,1903
2019-09,1462
2019-10,2593
2019-11,4217
2019-12,3283
2020-01,1693
2020-02,767
2020-03,235
2020-04,30
2020-05,189
2020-06,294
2020-07,324
2020-08,231
2020-09,192
2020-10,151
2020-11,59
2020-12,92
2021-01,130
2021-02,192
2021-03,421
2021-04,525
2021-05,258
2021-06,588
2021-07,959
2021-08,286
2021-09,245
2021-10,789
2021-11,904
2021-12,1134
